Car,0,800.000000,615.000000,12,2
Car,0,-100.000000,307.000000,11,5
Car,0,-100.000000,994.000000,21,3
Car,0,-100.000000,340.000000,21,4
Car,0,800.000000,431.000000,32,1
Car,1,-250.000000,626.000000,31,3
Car,1,800.000000,585.000000,22,2
Car,1,-100.000000,150.000000,11,5
Car,1,-250.000000,361.000000,31,4
Car,2,-250.000000,464.000000,31,3
Car,2,800.000000,550.000000,12,2
Car,2,-100.000000,262.000000,11,5
Car,3,800.000000,660.000000,42,2
Car,3,-250.000000,910.000000,41,3
Car,1,800.000000,303.000000,32,1
Car,2,-100.000000,522.000000,11,4
Car,3,-250.000000,279.000000,41,5
Car,4,-250.000000,536.000000,31,3
Car,3,-250.000000,386.000000,41,4
Car,4,800.000000,730.000000,32,2
Car,5,-100.000000,1017.000000,21,3
Car,6,-100.000000,696.000000,21,3
Car,4,-250.000000,182.000000,31,5
Car,4,-250.000000,455.000000,41,4
Car,5,800.000000,341.000000,12,2
Car,7,-100.000000,596.000000,21,3
Car,2,800.000000,409.000000,42,1
Car,8,-250.000000,461.000000,31,3
Car,6,800.000000,658.000000,12,2
Car,5,-100.000000,603.000000,21,4
Car,5,-100.000000,384.000000,11,5
