Car,0,-100.000000,185.000000,11,4
Car,0,800.000000,755.000000,22,3
Car,0,800.000000,225.000000,22,1
Car,0,800.000000,405.000000,22,2
Car,1,800.000000,650.000000,22,3
Car,1,800.000000,320.000000,22,2
Car,2,800.000000,855.000000,22,3
Car,1,-100.000000,435.000000,21,4
Car,3,800.000000,545.000000,12,3
Car,1,800.000000,350.000000,12,1
Car,2,800.000000,500.000000,22,2
Car,4,800.000000,770.000000,12,3
Car,3,800.000000,335.000000,22,2
Car,2,800.000000,310.000000,22,1
Car,2,-100.000000,370.000000,11,4
Car,3,-100.000000,315.000000,21,4
Car,3,794.299988,190.000000,12,1
Car,4,800.000000,385.000000,22,2
Car,5,800.000000,640.000000,22,2
Car,4,800.000000,375.000000,22,1
Car,4,-100.000000,150.000000,11,4
Car,5,800.000000,865.000000,12,3
Car,5,800.000000,220.000000,12,1
Car,6,800.000000,885.000000,12,3
Car,6,800.000000,735.000000,12,2
Car,7,800.000000,405.000000,22,2
Car,7,800.000000,860.000000,12,3
Car,6,800.000000,175.000000,22,1
Car,8,800.000000,765.000000,22,3
Car,5,-100.000000,220.000000,11,4
Car,7,800.000000,275.000000,22,1
Car,6,-100.000000,445.000000,11,4
Car,9,800.000000,630.000000,22,3
Car,8,800.000000,530.000000,22,2
Car,9,800.000000,540.000000,12,2
Car,10,800.000000,730.000000,12,3
Car,7,-100.000000,210.000000,21,4
Car,11,800.000000,935.000000,22,3
Car,10,800.000000,410.000000,22,2
Car,8,800.000000,330.000000,12,1
Car,12,800.000000,815.000000,12,3
Car,11,800.000000,590.000000,12,2
Car,12,800.000000,360.000000,22,2
Car,8,-100.000000,290.000000,21,4
Car,9,800.000000,335.000000,12,1
Car,13,800.000000,480.000000,22,2
Car,9,-100.000000,155.000000,21,4
Car,13,800.000000,950.000000,12,3
Car,10,800.000000,300.000000,22,1
Car,14,800.000000,720.000000,12,2
Car,14,800.000000,910.000000,12,3
Car,10,-100.000000,420.000000,21,4
Car,15,800.000000,480.000000,12,3
Car,16,776.900024,770.000000,22,3
Car,15,800.000000,700.000000,12,2
Car,17,800.000000,575.000000,22,3
